"","participant","context","environment","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","p","roundnLL","contextOrder","meanScore"
"128",102,"Conceptual","Rough",9,414.134693147675,0.417670498962745,"BMT","UCB",1.33051496010897,NA,0.00673794699908566,0.0615536027843654,NA,57.3772288292494,"Conceptual First",73.105
"129",102,"Conceptual","Rough",5,414.134693147675,0.417670498962745,"BMT","UCB",1.60034443932145,NA,0.00673794699908576,0.0567914628478636,NA,47.064880137203,"Conceptual First",73.105
"130",102,"Conceptual","Rough",6,414.134693147675,0.417670498962745,"BMT","UCB",1.29512186295719,NA,0.0067379469990855,0.0622573737248418,NA,22.3317881971903,"Conceptual First",73.105
"131",102,"Conceptual","Rough",6,367.735716405459,0.482913748132645,"SimKernel","UCB",NA,0.973994733592394,0.00673794699925115,0.0587962212647382,1.99999999999749,21.2363099499277,"Conceptual First",73.105
"132",102,"Conceptual","Rough",7,367.735716405459,0.482913748132645,"SimKernel","UCB",NA,0.888125134753341,0.0067379469997293,0.0558608219827718,1.99999999992685,64.046532390638,"Conceptual First",73.105
"133",102,"Conceptual","Rough",8,367.735716405459,0.482913748132645,"SimKernel","UCB",NA,0.847305569495678,0.00673794699910063,0.0579186363699286,1.92328931435741,64.998375045592,"Conceptual First",73.105
"134",102,"Conceptual","Rough",7,414.134693147675,0.417670498962745,"BMT","UCB",1.40500977165577,NA,0.00673794699908551,0.0567438279773335,NA,71.5636630096895,"Conceptual First",73.105
"135",102,"Conceptual","Rough",9,367.735716405459,0.482913748132645,"SimKernel","UCB",NA,0.939191703643355,0.00673794707596849,0.0580701493344771,1.99999993687014,54.4869161098729,"Conceptual First",73.105
"136",102,"Spatial","Rough",1,247.905109517248,0.651411820554026,"BMT","UCB",8.39634491037969,NA,0.0623413038621822,0.00673794699913209,NA,32.9960900837836,"Conceptual First",82.01
"137",102,"Spatial","Rough",3,281.579052641868,0.604061693114391,"SimKernel","UCB",NA,1.15338788325493,0.0592470986945151,0.0414978902471946,1.99999999981882,55.3968191986436,"Conceptual First",82.01
"138",102,"Spatial","Rough",2,247.905109517248,0.651411820554026,"BMT","UCB",6.98718568897364,NA,0.0130866668168463,0.012433986174438,NA,28.6638690250614,"Conceptual First",82.01
"139",102,"Spatial","Rough",3,247.905109517248,0.651411820554026,"BMT","UCB",6.66186611150141,NA,0.0223508511234629,0.0141040855398027,NA,47.1517053720175,"Conceptual First",82.01
"140",102,"Spatial","Rough",4,247.905109517248,0.651411820554026,"BMT","UCB",7.22885266779564,NA,0.0127313240579775,0.0118519064295515,NA,20.001362456681,"Conceptual First",82.01
"141",102,"Spatial","Rough",4,281.579052641868,0.604061693114391,"SimKernel","UCB",NA,0.995536901639157,0.0361783258779272,0.0461808391264128,1.99999999982917,24.4509555379799,"Conceptual First",82.01
"142",102,"Spatial","Rough",5,281.579052641868,0.604061693114391,"SimKernel","UCB",NA,1.35421223609429,0.0383545161613013,0.0450829243409916,1.99999999993515,42.409845038739,"Conceptual First",82.01
